new-namespace	classname	path	old-namespace
Import\RootTemplate	TemplateWasUpdatedDomainEventHandler	src/Projection/TemplateWasUpdatedDomainEventHandler.php	LizardsAndPumpkins\Projection
Import\TemplateRendering	ThemeLocator	src/Renderer/ThemeLocator.php	LizardsAndPumpkins\Renderer
Translation\Exception	TranslationFileNotReadableException	src/Renderer/Translation/Exception/TranslationFileNotReadableException.php	LizardsAndPumpkins\Renderer\Translation\Exception
Translation	TranslatorRegistry	src/Renderer/Translation/TranslatorRegistry.php	LizardsAndPumpkins\Renderer\Translation
Import\Product\View	TwentyOneRunConfigurableProductView	src/Projection/Catalog/TwentyOneRunConfigurableProductView.php	LizardsAndPumpkins\Projection\Catalog
Context	TwentyOneRunContextSource	src/TwentyOneRunContextSource.php	LizardsAndPumpkins
Util\Factory	TwentyOneRunFactory	src/TwentyOneRunFactory.php	LizardsAndPumpkins
Import\Product\Image	TwentyOneRunProductImageFileLocator	src/Product/ProductImage/TwentyOneRunProductImageFileLocator.php	LizardsAndPumpkins\Product\ProductImage
ProductListing\Import	TwentyOneRunProductListingTitleSnippetRenderer	src/Product/TwentyOneRunProductListingTitleSnippetRenderer.php	LizardsAndPumpkins\Product
ProductDetail\Import\View	TwentyOneRunProductPageTitle	src/Projection/Catalog/PageTitle/TwentyOneRunProductPageTitle.php	LizardsAndPumpkins\Projection\Catalog\PageTitle
Import\Product\View	TwentyOneRunProductViewLocator	src/Projection/Catalog/TwentyOneRunProductViewLocator.php	LizardsAndPumpkins\Projection\Catalog
Import\Product\View	TwentyOneRunSimpleProductView	src/Projection/Catalog/TwentyOneRunSimpleProductView.php	LizardsAndPumpkins\Projection\Catalog
Import\Tax	TwentyOneRunTaxableCountries	src/TwentyOneRunTaxableCountries.php	LizardsAndPumpkins
Import\Tax	TwentyOneRunTaxRate	src/Product/Tax/TaxRates/TwentyOneRunTaxRate.php	LizardsAndPumpkins\Product\Tax\TaxRates
Import\Tax	TwentyOneRunTaxServiceLocator	src/Product/Tax/TwentyOneRunTaxServiceLocator.php	LizardsAndPumpkins\Product\Tax
Context\Website	TwentyOneRunWebsiteToCountryMap	src/Website/TwentyOneRunWebsiteToCountryMap.php	LizardsAndPumpkins\Website
Logging\Writer\Exception	UnableToCreateLogDirectoryException	src/Log/Writer/Exception/UnableToCreateLogDirectoryException.php	LizardsAndPumpkins\Log\Writer\Exception
Logging\Writer\Exception	UnableToCreateLogFileException	src/Log/Writer/Exception/UnableToCreateLogFileException.php	LizardsAndPumpkins\Log\Writer\Exception
Import\ImageStorage\ImageProcessing\Exception	UnableToCreateTargetDirectoryForProcessedImagesException	src/Image/Exception/UnableToCreateTargetDirectoryForProcessedImagesException.php	LizardsAndPumpkins\Image\Exception
Context\Website\Exception	UnableToDetermineContextWebsiteException	src/Context/ContextBuilder/Exception/UnableToDetermineContextWebsiteException.php	LizardsAndPumpkins\Context\ContextBuilder\Exception
UNUSED	UnableToDetermineLocaleException	src/Context/Exception/UnableToDetermineLocaleException.php	LizardsAndPumpkins\Context\Exception
UNUSED	UnableToDetermineWebsiteContextException	src/Context/Exception/UnableToDetermineWebsiteContextException.php	LizardsAndPumpkins\Context\Exception
Messaging\Command\Exception	UnableToFindCommandHandlerException	src/Exception/UnableToFindCommandHandlerException.php	LizardsAndPumpkins\Exception
Messaging\Event\Exception	UnableToFindDomainEventHandlerException	src/Exception/UnableToFindDomainEventHandlerException.php	LizardsAndPumpkins\Exception
DataPool\SearchEngine\FacetFieldTransformation\Exception	UnableToFindTransformationException	src/ContentDelivery/Catalog/Search/FacetFieldTransformation/Exception/UnableToFindTransformationException.php	LizardsAndPumpkins\ContentDelivery\Catalog\Search\FacetFieldTransformation\Exception
Http\Routing	UnableToHandleRequestException	src/Http/Exception/UnableToHandleRequestException.php	LizardsAndPumpkins\Http\Exception
Import\Tax	UnableToLocateTaxServiceException	src/Product/Tax/Exception/UnableToLocateTaxServiceException.php	LizardsAndPumpkins\Product\Tax\Exception
Import\RootTemplate\Exception	UnableToLocateTemplateProjectorException	src/Exception/UnableToLocateTemplateProjectorException.php	LizardsAndPumpkins\Exception
ProductRecommendations\Exception	UnableToProcessProductRelationsRequestException	src/ContentDelivery/Catalog/ProductRelations/Exception/UnableToProcessProductRelationsRequestException.php	LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations\Exception
Http\Routing\Exception	UnableToRouteRequestException	src/Http/Exception/UnableToRouteRequestException.php	LizardsAndPumpkins\Http\Exception
Logging\Writer\Exception	UnableToWriteToLogFileException	src/Log/Writer/Exception/UnableToWriteToLogFileException.php	LizardsAndPumpkins\Log\Writer\Exception
Util\Factory\Exception	UndefinedFactoryMethodException	src/Exception/UndefinedFactoryMethodException.php	LizardsAndPumpkins\Exception
Translation\Exception	UndefinedTranslatorException	src/Renderer/Translation/Exception/UndefinedTranslatorException.php	LizardsAndPumpkins\Renderer\Translation\Exception
ProductRecommendations\Exception	UnknownProductRelationTypeException	src/ContentDelivery/Catalog/ProductRelations/Exception/UnknownProductRelationTypeException.php	LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations\Exception
Http\Exception	UnknownProtocolException	src/Http/Exception/UnknownProtocolException.php	LizardsAndPumpkins\Http\Exception
Context\Website\Exception	UnknownWebsiteHostException	src/Website/Exception/UnknownWebsiteHostException.php	LizardsAndPumpkins\Website\Exception
Http\Routing\Exception	UnsupportedRequestMethodException	src/Http/Exception/UnsupportedRequestMethodException.php	LizardsAndPumpkins\Http\Exception
Import\ContentBlock	UpdateContentBlockCommand	src/Content/UpdateContentBlockCommand.php	LizardsAndPumpkins\Content
Import\ContentBlock	UpdateContentBlockCommandHandler	src/Content/UpdateContentBlockCommandHandler.php	LizardsAndPumpkins\Content
Import\Product	UpdateProductCommand	src/Product/UpdateProductCommand.php	LizardsAndPumpkins\Product
Import\Product	UpdateProductCommandHandler	src/Product/UpdateProductCommandHandler.php	LizardsAndPumpkins\Product
Import\Image	UpdatingProductImageImportCommandFactory	src/Projection/Catalog/Import/ImportCommand/UpdatingProductImageImportCommandFactory.php	LizardsAndPumpkins\Projection\Catalog\Import\ImportCommand
ProductDetail\Import	UpdatingProductImportCommandFactory	src/Projection/Catalog/Import/ImportCommand/UpdatingProductImportCommandFactory.php	LizardsAndPumpkins\Projection\Catalog\Import\ImportCommand
ProductListing\Import	UpdatingProductListingImportCommandFactory	src/Projection/Catalog/Import/ImportCommand/UpdatingProductListingImportCommandFactory.php	LizardsAndPumpkins\Projection\Catalog\Import\ImportCommand
Import\Product\UrlKey	UrlKey	src/UrlKey.php	LizardsAndPumpkins
Import\Product\UrlKey	UrlKeyForContext	src/Projection/UrlKeyForContext.php	LizardsAndPumpkins\Projection
Import\Product\UrlKey	UrlKeyForContextCollection	src/Projection/UrlKeyForContextCollection.php	LizardsAndPumpkins\Projection
Import\Product\UrlKey	UrlKeyForContextCollector	src/Projection/UrlKeyForContextCollector.php	LizardsAndPumpkins\Projection
DataPool\UrlKeyStore\Exception	UrlKeyIsNotAStringException	src/DataPool/UrlKeyStore/Exception/UrlKeyIsNotAStringException.php	LizardsAndPumpkins\DataPool\UrlKeyStore\Exception
DataPool\UrlKeyStore\Exception	UrlKeyToWriteIsEmptyStringException	src/DataPool/UrlKeyStore/Exception/UrlKeyToWriteIsEmptyStringException.php	LizardsAndPumpkins\DataPool\UrlKeyStore\Exception
DataPool\UrlKeyStore\Exception	UrlKeyTypeIsNotAStringException	src/DataPool/UrlKeyStore/Exception/UrlKeyTypeIsNotAStringException.php	LizardsAndPumpkins\DataPool\UrlKeyStore\Exception
Util	UuidGenerator	src/Utils/UuidGenerator.php	LizardsAndPumpkins\Utils
Context\Website	Website	src/Website/Website.php	LizardsAndPumpkins\Website
Context\BaseUrl	WebsiteBaseUrlBuilder	src/BaseUrl/WebsiteBaseUrlBuilder.php	LizardsAndPumpkins\BaseUrl
Logging	WritingLoggerDecorator	src/Log/WritingLoggerDecorator.php	LizardsAndPumpkins\Log
Import	XPathParser	src/Utils/XPathParser.php	LizardsAndPumpkins\Utils
Util\Factory	FactoryTrait	src/FactoryTrait.php	LizardsAndPumpkins
Import\ImageStorage\ImageProcessing	ResizeStrategyTrait	src/Image/ResizeStrategyTrait.php	LizardsAndPumpkins\Image
Util\Factory	MasterFactoryTrait	src/MasterFactoryTrait.php	LizardsAndPumpkins
Import\Product	RehydrateableProductTrait	src/Product/RehydrateableProductTrait.php	LizardsAndPumpkins\Product
RestApi	ApiRequestHandler	src/Api/ApiRequestHandler.php	LizardsAndPumpkins\Api
Context	ContextSource	src/Context/ContextSource.php	LizardsAndPumpkins\Context
DataPool\SearchEngine	IntegrationTestSearchEngineAbstract	src/DataPool/SearchEngine/IntegrationTestSearchEngineAbstract.php	LizardsAndPumpkins\DataPool\SearchEngine
DataPool\SearchEngine\SearchCriteria	SearchCriterion	src/DataPool/SearchEngine/SearchCriteria/SearchCriterion.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria
Http	HttpRequest	src/Http/HttpRequest.php	LizardsAndPumpkins\Http
Import\Product\Composite	AssociatedProductListDomainException	src/Product/Composite/Exception/AssociatedProductListDomainException.php	LizardsAndPumpkins\Product\Composite\Exception
Import\Product\View	AbstractConfigurableProductView	src/Projection/Catalog/AbstractConfigurableProductView.php	LizardsAndPumpkins\Projection\Catalog
Import\Product\View	AbstractProductView	src/Projection/Catalog/AbstractProductView.php	LizardsAndPumpkins\Projection\Catalog
Import\TemplateRendering	BlockRenderer	src/Renderer/BlockRenderer.php	LizardsAndPumpkins\Renderer
Util	BaseCliCommand	src/Utils/BaseCliCommand.php	LizardsAndPumpkins\Utils
Http	WebFront	src/WebFront.php	LizardsAndPumpkins
Context\BaseUrl	BaseUrlBuilder	src/BaseUrl/BaseUrlBuilder.php	LizardsAndPumpkins\BaseUrl
Context\BaseUrl	BaseUrl	src/BaseUrl.php	LizardsAndPumpkins
Messaging\Command	Command	src/Command.php	LizardsAndPumpkins
Messaging\Command	CommandHandler	src/CommandHandler.php	LizardsAndPumpkins
Messaging\Command	CommandHandlerFactory	src/CommandHandlerFactory.php	LizardsAndPumpkins
Util\Config	ConfigReader	src/ConfigReader.php	LizardsAndPumpkins
ProductRecommendations	ProductRelations	src/ContentDelivery/Catalog/ProductRelations/ProductRelations.php	LizardsAndPumpkins\ContentDelivery\Catalog\ProductRelations
DataPool\SearchEngine\FacetFieldTransformation	FacetFieldTransformation	src/ContentDelivery/Catalog/Search/FacetFieldTransformation/FacetFieldTransformation.php	LizardsAndPumpkins\ContentDelivery\Catalog\Search\FacetFieldTransformation
Http\ContentDelivery\PageBuilder	PageSnippets	src/ContentDelivery/PageBuilder/PageSnippets.php	LizardsAndPumpkins\ContentDelivery\PageBuilder
Http\ContentDelivery\PageBuilder\SnippetTransformation	SnippetTransformation	src/ContentDelivery/SnippetTransformation/SnippetTransformation.php	LizardsAndPumpkins\ContentDelivery\SnippetTransformation
Context	Context	src/Context/Context.php	LizardsAndPumpkins\Context
Context	ContextPartBuilder	src/Context/ContextBuilder/ContextPartBuilder.php	LizardsAndPumpkins\Context\ContextBuilder
Context	ContextBuilder	src/Context/ContextBuilder.php	LizardsAndPumpkins\Context
DataPool\KeyValueStore	KeyValueStore	src/DataPool/KeyValue/KeyValueStore.php	LizardsAndPumpkins\DataPool\KeyValue
DataPool\SearchEngine	FacetFilterRequestField	src/DataPool/SearchEngine/FacetFilterRequestField.php	LizardsAndPumpkins\DataPool\SearchEngine
DataPool\SearchEngine\SearchCriteria	SearchCriteria	src/DataPool/SearchEngine/SearchCriteria/SearchCriteria.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchCriteria
DataPool\SearchEngine\SearchDocument	SearchDocumentBuilder	src/DataPool/SearchEngine/SearchDocument/SearchDocumentBuilder.php	LizardsAndPumpkins\DataPool\SearchEngine\SearchDocument
DataPool\SearchEngine	SearchEngine	src/DataPool/SearchEngine/SearchEngine.php	LizardsAndPumpkins\DataPool\SearchEngine
DataPool\UrlKeyStore	UrlKeyStore	src/DataPool/UrlKeyStore/UrlKeyStore.php	LizardsAndPumpkins\DataPool\UrlKeyStore
Messaging\Event	DomainEvent	src/DomainEvent.php	LizardsAndPumpkins
Messaging\Event	DomainEventHandler	src/DomainEventHandler.php	LizardsAndPumpkins
Messaging\Event	DomainEventHandlerFactory	src/DomainEventHandlerFactory.php	LizardsAndPumpkins
Util\Factory	Factory	src/Factory.php	LizardsAndPumpkins
Import\FileStorage	FileStorageReader	src/FileStorageReader.php	LizardsAndPumpkins
Import\FileStorage	FileStorageWriter	src/FileStorageWriter.php	LizardsAndPumpkins
Http\Routing	HttpRequestHandler	src/Http/HttpRequestHandler.php	LizardsAndPumpkins\Http
Http	HttpResponse	src/Http/HttpResponse.php	LizardsAndPumpkins\Http
Http\Routing	HttpRouter	src/Http/HttpRouter.php	LizardsAndPumpkins\Http
Import\ImageStorage\ImageProcessing	ImageProcessingStrategy	src/Image/ImageProcessingStrategy.php	LizardsAndPumpkins\Image
Logging	LogMessage	src/Log/LogMessage.php	LizardsAndPumpkins\Log
Logging	Logger	src/Log/Logger.php	LizardsAndPumpkins\Log
Logging	LogMessageWriter	src/Log/Writer/LogMessageWriter.php	LizardsAndPumpkins\Log\Writer
Util\Factory	MasterFactory	src/MasterFactory.php	LizardsAndPumpkins
Import	PageMetaInfoSnippetContent	src/PageMetaInfoSnippetContent.php	LizardsAndPumpkins
Import\Product\Composite	CompositeProduct	src/Product/CompositeProduct.php	LizardsAndPumpkins\Product
Import\Product	Product	src/Product/Product.php	LizardsAndPumpkins\Product
Import\Product\View	ProductImageFileLocator	src/Product/ProductImage/ProductImageFileLocator.php	LizardsAndPumpkins\Product\ProductImage
ProductSearch\Import	AttributeValueCollector	src/Product/ProductSearch/AttributeValueCollector.php	LizardsAndPumpkins\Product\ProductSearch
Import\Tax	TaxService	src/Product/Tax/TaxService.php	LizardsAndPumpkins\Product\Tax
Import\Tax	TaxServiceLocator	src/Product/Tax/TaxServiceLocator.php	LizardsAndPumpkins\Product\Tax
Import\Product\View	CompositeProductView	src/Projection/Catalog/CompositeProductView.php	LizardsAndPumpkins\Projection\Catalog
Import\Image	ProductImageImportCommandFactory	src/Projection/Catalog/Import/ImportCommand/ProductImageImportCommandFactory.php	LizardsAndPumpkins\Projection\Catalog\Import\ImportCommand
ProductDetail\Import	ProductImportCommandFactory	src/Projection/Catalog/Import/ImportCommand/ProductImportCommandFactory.php	LizardsAndPumpkins\Projection\Catalog\Import\ImportCommand
ProductListing\Import	ProductListingImportCommandFactory	src/Projection/Catalog/Import/ImportCommand/ProductListingImportCommandFactory.php	LizardsAndPumpkins\Projection\Catalog\Import\ImportCommand
Import\Product	ProductBuilder	src/Projection/Catalog/Import/ProductBuilder.php	LizardsAndPumpkins\Projection\Catalog\Import
Import\Product	ProductXmlToProductBuilder	src/Projection/Catalog/Import/ProductXmlToProductBuilder.php	LizardsAndPumpkins\Projection\Catalog\Import
Import\Product\View	ProductView	src/Projection/Catalog/ProductView.php	LizardsAndPumpkins\Projection\Catalog
Import\Product\View	ProductViewLocator	src/Projection/Catalog/ProductViewLocator.php	LizardsAndPumpkins\Projection\Catalog
Import	Projector	src/Projection/Projector.php	LizardsAndPumpkins\Projection
Messaging	Queue	src/Queue/Queue.php	LizardsAndPumpkins\Queue
Messaging	QueueMessageConsumer	src/QueueMessageConsumer.php	LizardsAndPumpkins
Translation	Translator	src/Renderer/Translation/Translator.php	LizardsAndPumpkins\Renderer\Translation
DataPool\KeyGenerator	SnippetKeyGenerator	src/SnippetKeyGenerator.php	LizardsAndPumpkins
DataPool\KeyGenerator	SnippetKeyGeneratorLocator	src/SnippetKeyGeneratorLocator/SnippetKeyGeneratorLocator.php	LizardsAndPumpkins\SnippetKeyGeneratorLocator
Import	SnippetRenderer	src/SnippetRenderer.php	LizardsAndPumpkins
Import\Tax	TaxableCountries	src/TaxableCountries.php	LizardsAndPumpkins
Util\Storage	Clearable	src/Utils/Clearable.php	LizardsAndPumpkins\Utils
Import\FileStorage	File	src/Utils/FileStorage/File.php	LizardsAndPumpkins\Utils\FileStorage
Import\FileStorage	FileStorage	src/Utils/FileStorage/FileStorage.php	LizardsAndPumpkins\Utils\FileStorage
Import\FileStorage	FileToFileStorage	src/Utils/FileStorage/FileToFileStorage.php	LizardsAndPumpkins\Utils\FileStorage
Import\FileStorage	StorageSpecificFileUri	src/Utils/FileStorage/StorageSpecificFileUri.php	LizardsAndPumpkins\Utils\FileStorage
Import\ImageStorage	Image	src/Utils/ImageStorage/Image.php	LizardsAndPumpkins\Utils\ImageStorage
Import\ImageStorage	ImageStorage	src/Utils/ImageStorage/ImageStorage.php	LizardsAndPumpkins\Utils\ImageStorage
Import\ImageStorage	ImageToImageStorage	src/Utils/ImageStorage/ImageToImageStorage.php	LizardsAndPumpkins\Utils\ImageStorage
Import\ImageStorage	MediaBaseUrlBuilder	src/Utils/ImageStorage/MediaBaseUrlBuilder.php	LizardsAndPumpkins\Utils\ImageStorage
Context\Website	HostToWebsiteMap	src/Website/HostToWebsiteMap.php	LizardsAndPumpkins\Website
Context\Website	WebsiteToCountryMap	src/Website/WebsiteToCountryMap.php	LizardsAndPumpkins\Website
